Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Ukraine,110,4.875,0.979,0.958,0.517,0.417,0.01,0.181
Iraq,111,4.854,0.91,0.638,0.381,0.302,0.041,0.153
Gabon,112,4.852,1.037,0.707,0.362,0.424,0.064,0.058
Burkina Faso,113,4.834,0.364,0.472,0.179,0.381,0.122,0.182
Cambodia,114,4.83,0.603,0.68,0.426,0.702,0.061,0.21
Mozambique,115,4.794,0.183,0.634,0.196,0.608,0.163,0.228
Nigeria,116,4.759,0.663,0.625,0.051,0.433,0.039,0.212
Mali,117,4.723,0.387,0.59,0.11,0.384,0.072,0.164
Iran,118,4.721,1.03,0.557,0.561,0.275,0.144,0.33
Uganda,119,4.636,0.364,0.718,0.24,0.398,0.054,0.267
Liberia,120,4.625,0.228,0.58,0.253,0.43,0.057,0.221
Kenya,121,4.607,0.603,0.508,0.385,0.483,0.073,0.375
Tunisia,122,4.596,0.919,0.515,0.59,0.334,0.044,0.057
Lebanon,123,4.584,1.045,0.868,0.595,0.175,0.026,0.14
Namibia,124,4.574,0.882,0.801,0.262,0.411,0.059,0.091
Palestinian Territories,125,4.517,0.646,0.819,0.434,0.33,0.075,0.082
Myanmar,126,4.426,0.666,0.713,0.341,0.601,0.178,0.52
Jordan,127,4.395,0.89,0.685,0.583,0.455,0.15,0.079
Chad,128,4.355,0.255,0.353,0,0.24,0.084,0.215
Sri Lanka,129,4.325,0.99,0.82,0.593,0.559,0.049,0.239
Swaziland,130,4.308,0.849,0.693,0.074,0.323,0.147,0.067
Comoros,131,4.289,0.488,0.367,0.279,0.202,0.101,0.241
Egypt,132,4.283,0.954,0.647,0.426,0.446,0.092,0.069
Ethiopia,133,4.275,0.37,0.679,0.331,0.451,0.114,0.241
Mauritania,134,4.227,0.666,0.749,0.273,0.218,0.133,0.119
Madagascar,135,4.208,0.266,0.503,0.341,0.207,0.087,0.185
Togo,136,4.107,0.254,0.239,0.203,0.289,0.107,0.209
Zambia,137,4.073,0.528,0.552,0.231,0.487,0.074,0.227
Sierra Leone,138,3.849,0.279,0.377,0.1,0.408,0.047,0.243
India,139,3.819,0.741,0.316,0.383,0.622,0.106,0.246
Burundi,140,3.775,0,0.062,0.155,0.298,0.212,0.172
Yemen,141,3.658,0.329,0.831,0.272,0.268,0.089,0.092
Tanzania,142,3.623,0.433,0.54,0.3,0.549,0.231,0.307
Haiti,143,3.615,0.294,0.173,0.227,0.257,0.139,0.463
Malawi,144,3.6,0.113,0.168,0.298,0.484,0.134,0.213
Lesotho,145,3.512,0.451,0.731,0.007,0.405,0.015,0.103
Botswana,146,3.467,1.099,0.724,0.34,0.539,0.088,0.027
Rwanda,147,3.415,0.364,0.202,0.407,0.627,0.493,0.227
Zimbabwe,148,3.145,0.457,0.649,0.243,0.359,0.075,0.157
Afghanistan,149,2.523,0.37,0,0.126,0,0.01,0.122
