Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Hungary,53,6.000,1.164,1.423,0.807,0.386,0.028,0.070
Thailand,54,5.999,1.007,1.348,0.794,0.609,0.032,0.377
Argentina,55,5.975,1.028,1.373,0.850,0.521,0.060,0.070
Honduras,56,5.953,0.599,1.187,0.792,0.568,0.087,0.257
Latvia,57,5.950,1.141,1.414,0.778,0.329,0.090,0.075
Ecuador,58,5.925,0.853,1.221,0.839,0.555,0.087,0.115
Portugal,59,5.911,1.169,1.340,0.979,0.590,0.028,0.053
Jamaica,60,5.890,0.779,1.408,0.788,0.553,0.030,0.116
South Korea,61,5.872,1.245,1.134,1.023,0.259,0.095,0.170
Japan,62,5.871,1.267,1.332,1.073,0.495,0.181,0.036
Peru,63,5.797,0.919,1.208,0.824,0.513,0.027,0.092
Serbia,64,5.778,0.988,1.327,0.828,0.395,0.059,0.150
Bolivia,65,5.747,0.731,1.142,0.662,0.574,0.073,0.138
Pakistan,66,5.693,0.617,0.873,0.470,0.405,0.123,0.229
Paraguay,67,5.692,0.898,1.368,0.736,0.587,0.065,0.204
Dominican Republic,68,5.689,0.983,1.329,0.742,0.563,0.116,0.112
Bosnia and Herzegovina,69,5.674,0.918,1.204,0.814,0.305,0.001,0.264
Moldova,70,5.608,0.708,1.237,0.713,0.390,0.014,0.174
Tajikistan,71,5.556,0.475,1.218,0.681,0.521,0.222,0.182
Montenegro,72,5.546,1.010,1.266,0.839,0.303,0.098,0.149
Russia,73,5.546,1.127,1.379,0.680,0.399,0.046,0.099
Kyrgyzstan,74,5.542,0.513,1.341,0.681,0.615,0.030,0.301
Belarus,75,5.540,1.019,1.387,0.753,0.291,0.194,0.090
North Cyprus,76,5.536,1.213,1.183,1.026,0.478,0.200,0.199
Greece,77,5.515,1.128,1.169,0.979,0.174,0.049,0.000
Hong Kong S.A.R. of China,78,5.510,1.377,1.244,1.137,0.459,0.332,0.288
Croatia,79,5.505,1.109,1.311,0.901,0.381,0.012,0.114
Libya,80,5.489,1.022,1.196,0.616,0.451,0.172,0.143
Mongolia,81,5.456,0.905,1.459,0.616,0.356,0.047,0.264
Malaysia,82,5.384,1.168,1.174,0.789,0.597,0.062,0.275
Vietnam,83,5.353,0.718,1.253,0.819,0.651,0.090,0.136
Indonesia,84,5.286,0.892,1.155,0.610,0.568,0.038,0.543
Ivory Coast,85,5.233,0.537,0.800,0.155,0.397,0.093,0.170
Benin,86,5.216,0.366,0.352,0.328,0.406,0.126,0.197
Maldives,87,5.198,0.938,1.402,0.914,0.548,0.072,0.224
Congo (Brazzaville),88,5.194,0.634,0.758,0.458,0.387,0.119,0.117
Azerbaijan,89,5.165,0.990,1.181,0.731,0.468,0.247,0.040
Macedonia,90,5.160,0.935,1.183,0.803,0.410,0.025,0.186
Ghana,91,5.148,0.576,0.966,0.432,0.477,0.057,0.261
Nepal,92,5.137,0.444,1.101,0.669,0.481,0.128,0.301
Turkey,93,5.132,1.127,1.197,0.781,0.254,0.121,0.086
China,94,5.124,0.991,1.132,0.867,0.602,0.117,0.079
Turkmenistan,95,5.119,1.009,1.510,0.612,0.515,0.034,0.323
Bulgaria,96,5.102,1.047,1.461,0.778,0.418,0.000,0.104
Morocco,97,5.095,0.759,0.645,0.745,0.450,0.077,0.040
Cameroon,98,5.085,0.504,0.900,0.270,0.439,0.054,0.198
Venezuela,99,5.053,0.770,1.349,0.767,0.272,0.064,0.087
Algeria,100,5.005,0.944,1.143,0.745,0.084,0.129,0.119
Senegal,101,4.981,0.504,0.955,0.518,0.352,0.082,0.164
Guinea,102,4.949,0.390,0.751,0.334,0.372,0.112,0.249
Niger,103,4.910,0.108,0.704,0.299,0.435,0.138,0.208
Laos,104,4.889,0.715,0.987,0.486,0.612,0.194,0.273
Albania,105,4.883,0.907,0.830,0.846,0.462,0.025,0.171
Cambodia,106,4.848,0.545,1.071,0.588,0.675,0.073,0.233
Bangladesh,107,4.833,0.556,0.869,0.695,0.604,0.177,0.177
Gabon,108,4.829,0.988,1.106,0.523,0.369,0.056,0.052
South Africa,109,4.814,0.902,1.259,0.407,0.435,0.060,0.126
Iraq,110,4.785,0.982,1.011,0.529,0.284,0.073,0.153
Lebanon,111,4.772,0.889,1.192,0.789,0.186,0.022,0.159
Burkina Faso,112,4.769,0.302,0.929,0.313,0.322,0.126,0.186
Gambia,113,4.751,0.257,0.883,0.353,0.403,0.158,0.426
Mali,114,4.729,0.352,0.973,0.235,0.378,0.062,0.170
Nigeria,115,4.724,0.646,0.987,0.168,0.435,0.048,0.221
Armenia,116,4.677,0.808,1.035,0.776,0.378,0.105,0.107
Georgia,117,4.673,0.847,0.731,0.695,0.485,0.174,0.048
Iran,118,4.672,1.029,0.886,0.749,0.301,0.143,0.277
Jordan,119,4.633,0.785,1.140,0.778,0.425,0.152,0.091
Mozambique,120,4.624,0.179,0.955,0.324,0.561,0.163,0.220
Kenya,121,4.583,0.476,0.905,0.536,0.519,0.067,0.394
Namibia,122,4.571,0.840,1.246,0.407,0.445,0.054,0.076
Ukraine,123,4.561,0.780,1.321,0.699,0.319,0.010,0.179
Liberia,124,4.558,0.174,0.921,0.392,0.406,0.051,0.227
Palestinian Territories,125,4.553,0.588,1.195,0.614,0.299,0.072,0.092
Uganda,126,4.432,0.312,1.052,0.378,0.402,0.064,0.265
Chad,127,4.423,0.302,0.739,0.109,0.229,0.086,0.211
Tunisia,128,4.392,0.875,0.872,0.781,0.236,0.044,0.056
Mauritania,129,4.375,0.540,1.113,0.425,0.186,0.122,0.129
Sri Lanka,130,4.327,0.898,1.195,0.792,0.529,0.049,0.253
Congo (Kinshasa),131,4.311,0.062,0.833,0.277,0.365,0.081,0.254
Swaziland,132,4.308,0.828,1.065,0.216,0.300,0.147,0.067
Myanmar,133,4.308,0.678,1.098,0.495,0.597,0.188,0.570
Comoros,134,4.289,0.416,0.723,0.437,0.181,0.100,0.259
Togo,135,4.187,0.268,0.548,0.343,0.304,0.115,0.201
Ethiopia,136,4.186,0.315,1.001,0.484,0.413,0.117,0.228
Madagascar,137,4.166,0.245,0.824,0.501,0.193,0.076,0.191
Egypt,138,4.151,0.875,0.983,0.597,0.374,0.095,0.069
Sierra Leone,139,3.926,0.241,0.748,0.204,0.382,0.048,0.258
Burundi,140,3.775,0.000,0.404,0.295,0.275,0.212,0.187
Zambia,141,3.759,0.537,0.896,0.364,0.491,0.087,0.251
Haiti,142,3.721,0.285,0.647,0.374,0.169,0.162,0.464
Lesotho,143,3.653,0.455,1.089,0.101,0.409,0.050,0.103
India,144,3.573,0.731,0.644,0.541,0.581,0.106,0.237
Malawi,145,3.538,0.177,0.530,0.446,0.487,0.132,0.213
Yemen,146,3.527,0.393,1.177,0.415,0.244,0.087,0.095
Botswana,147,3.479,0.998,1.086,0.494,0.509,0.102,0.033
Tanzania,148,3.476,0.457,0.873,0.443,0.509,0.204,0.272
Central African Republic,149,3.476,0.041,0.000,0.000,0.293,0.028,0.254
Rwanda,150,3.312,0.343,0.523,0.572,0.604,0.486,0.236
Zimbabwe,151,3.299,0.426,1.048,0.375,0.377,0.081,0.151
South Sudan,152,2.817,0.289,0.553,0.209,0.066,0.111,0.210
Afghanistan,153,2.567,0.301,0.356,0.266,0.000,0.001,0.135
